Região,Município,CV_BCG,CV_HEPatite_B,CV_HIB,CV_DPT,CV_Polio,CV_rota,CV_Pneumo,CV_MNCC,CV_SCR1,CV_SCR2,CV_VARICELA,CV_HEPATITE_A
Região Norte,110018 Pimenta Bueno,88.26,79.10,79.62,79.62,79.97,84.28,86.70,81.35,92.98,57.54,88.25,87.89
Região Norte,110020 Porto Velho,55.77,72.80,72.87,72.98,72.91,73.74,79.77,75.66,77.91,42.44,62.20,65.40
Região Norte,110025 Presidente Médici,84.94,71.81,71.81,72.20,69.88,71.43,75.29,72.20,67.70,27.63,69.65,63.42
Região Norte,110026 Rio Crespo,70.83,91.67,91.67,91.67,91.67,106.25,108.33,104.17,93.62,34.04,100.00,72.34
Região Norte,110028 Rolim de Moura,63.40,86.32,86.55,86.55,86.66,84.38,87.12,87.91,87.34,80.21,81.82,82.85
Região Norte,110029 Santa Luzia D'Oeste,01.01,75.76,75.76,75.76,76.77,71.72,81.82,87.88,104.08,9.18,0.00,66.33
Região Norte,110030 Vilhena,134.51,88.99,89.12,89.12,89.57,92.85,95.62,90.28,109.76,5.79,81.91,82.37
Região Norte,110032 São Miguel do Guaporé,38.29,71.07,71.07,71.63,72.18,71.63,69.97,71.07,61.45,55.03,54.75,0.00
Região Norte,110033 Nova Mamoré,31.44,41.84,41.84,41.84,40.66,44.92,49.88,47.28,44.52,13.1,33.57,43.33
Região Norte,110034 Alvorada D'Oeste,29.05,57.14,57.14,57.14,57.62,58.57,59.05,55.24,68.75,56.25,64.90,66.35
Região Norte,110037 Alto Alegre dos Parecis,42.47,111.64,112.33,112.33,108.22,112.33,114.38,108.90,124.66,78.08,93.15,100.00
Região Norte,110040 Alto Paraíso,32.57,84.86,84.86,85.78,86.24,84.40,86.70,81.65,102.30,62.21,78.80,90.32
Região Norte,110045 Buritis,138.39,115.94,115.94,115.94,117.91,114.57,117.13,114.17,103.17,97.42,98.41,97.02
Região Norte,110050 Novo Horizonte do Oeste,58.97,116.67,116.67,116.67,116.67,115.38,123.08,119.23,127.27,114.29,109.09,122.08
Região Norte,110060 Cacaulândia,17.14,68.57,68.57,68.57,68.57,60.00,67.14,71.43,88.57,18.57,77.14,77.14
Região Norte,110070 Campo Novo de Rondônia,19.65,39.88,39.88,39.88,39.88,39.88,41.04,40.46,56.40,48.84,50.58,53.49
Região Norte,110080 Candeias do Jamari,4.65,64.53,64.53,66.28,64.53,62.50,67.15,67.44,92.11,4.68,54.97,57.31
Região Norte,110090 Castanheiras,0.00,89.19,89.19,89.19,89.19,83.78,83.78,75.68,91.67,55.56,69.44,66.67
Região Norte,110092 Chupinguaia,6.79,70.99,70.99,71.60,67.90,66.67,72.22,71.60,80.75,58.39,55.90,61.49
Região Norte,110094 Cujubim,38.62,70.33,70.33,70.33,85.77,84.96,89.43,95.93,146.03,3.77,87.45,84.10
Região Norte,110100 Governador Jorge Teixeira,126.74,119.77,119.77,119.77,119.77,122.09,124.42,112.79,116.47,27.06,84.71,94.12
Região Norte,110110 Itapuã do Oeste,27.73,118.49,118.49,118.49,116.81,120.17,134.45,119.33,122.22,46.15,102.56,105.13
Região Norte,110120 Ministro Andreazza,0.00,117.57,117.57,117.57,117.57,118.92,118.92,112.16,109.72,104.17,125.00,123.61
Região Norte,110130 Mirante da Serra,39.29,41.67,41.67,42.26,45.24,44.64,46.43,48.81,45.51,11.98,17.96,35.93
Região Norte,110140 Monte Negro,61.68,107.19,107.19,107.19,104.79,100.60,102.99,95.81,105.99,78.44,52.10,89.22
Região Norte,110143 Nova União,77.01,70.11,70.11,70.11,70.11,75.86,82.76,74.71,97.67,58.14,63.95,70.93
Região Norte,110145 Parecis,40.68,84.75,84.75,84.75,84.75,84.75,94.92,86.44,89.66,81.03,77.59,81.03
Região Norte,110146 Pimenteiras do Oeste,0.00,74.36,74.36,74.36,74.36,61.54,58.97,51.28,74.36,0.00,61.54,58.97
Região Norte,110147 Primavera de Rondônia,55.26,131.58,131.58,131.58,131.58,113.16,113.16,147.37,155.26,5.26,128.95,136.84
Região Norte,110148 São Felipe D'Oeste,44.62,87.69,89.23,87.69,89.23,86.15,89.23,80.00,95.38,73.85,47.69,72.31
Região Norte,110149 São Francisco do Guaporé,72.56,82.71,82.71,82.71,86.47,77.44,80.08,80.45,18.70,156.87,74.43,0.00
Região Norte,110150 Seringueiras,80.86,95.06,95.06,95.06,95.06,85.19,90.74,97.53,110.63,70.63,91.25,93.75
Região Norte,110155 Teixeirópolis,121.43,121.43,121.43,130.95,123.81,121.43,126.19,121.43,126.83,78.05,92.68,112.20
Região Norte,110160 Theobroma,13.91,19.13,19.13,19.13,20.87,22.61,28.70,23.48,46.02,10.62,37.17,27.43
Região Norte,110170 Urupá,56.64,97.20,97.20,97.90,99.30,98.60,101.40,95.80,109.93,124.82,120.57,120.57
Região Norte,110175 Vale do Anari,48.61,62.50,62.50,62.50,63.89,54.17,51.39,47.22,40.00,1.43,32.86,40.00
Região Norte,110180 Vale do Paraíso,29.03,85.48,85.48,85.48,85.48,100.00,95.16,95.16,142.62,3.28,90.16,86.89
Região Norte,120001 Acrelândia,10.55,73.84,73.84,73.84,78.90,79.75,89.03,83.54,71.37,33.76,40.17,68.38
Região Norte,120005 Assis Brasil,68.37,62.33,62.33,62.33,62.33,60.93,68.37,61.40,50.00,9.43,14.15,46.23
Região Norte,120010 Brasiléia,25.24,65.28,65.09,65.09,62.81,62.81,69.64,67.36,76.86,16.83,45.51,50.10
Região Norte,120013 Bujari,0.00,61.00,61.00,61.00,60.58,64.32,65.56,60.58,61.34,28.15,73.53,62.18
Região Norte,120017 Capixaba,1.58,44.74,44.74,44.74,37.37,43.16,54.74,55.26,55.56,26.98,38.10,47.09
Região Norte,120020 Cruzeiro do Sul,61.15,60.56,60.50,60.62,60.73,65.35,72.15,63.45,56.01,23.37,29.53,41.84
Região Norte,120025 Epitaciolândia,48.46,50.51,50.51,50.85,46.42,48.46,49.83,50.17,51.39,10.07,11.11,37.15
Região Norte,120030 Feijó,74.52,55.26,55.26,55.39,56.40,59.57,66.41,70.22,66.36,33.38,37.17,52.62
Região Norte,120032 Jordão,88.78,119.51,120.00,120.00,124.88,112.68,135.12,122.93,114.43,15.42,62.69,97.51
Região Norte,120033 Mâncio Lima,27.62,62.38,62.38,62.38,61.67,52.14,58.57,57.14,55.58,3.88,30.83,48.30
Região Norte,120034 Manoel Urbano,32.50,60.00,60.00,61.07,61.79,66.43,65.71,60.71,65.11,25.18,32.37,40.29
Região Norte,120035 Marechal Thaumaturgo,33.53,64.97,64.97,64.97,64.67,65.87,78.44,75.45,45.62,1.81,0.30,51.96
Região Norte,120038 Plácido de Castro,11.23,66.67,66.67,66.67,64.56,74.04,80.70,69.82,71.22,35.61,32.73,67.99
Região Norte,120039 Porto Walter,33.45,77.00,76.66,76.66,75.61,73.17,83.97,79.79,57.24,4.95,22.97,60.07
Região Norte,120040 Rio Branco,115.34,75.37,75.42,75.39,74.46,77.08,84.07,77.79,73.74,37.09,40.75,71.64
Região Norte,120042 Rodrigues Alves,8.65,34.58,34.58,34.58,34.87,40.35,44.38,42.94,24.27,0.58,0.00,28.65
Região Norte,120043 Santa Rosa do Purus,57.05,91.28,91.28,91.28,92.62,89.93,106.71,98.66,83.80,76.06,77.46,74.65
Região Norte,120045 Senador Guiomard,1.75,35.66,35.41,35.91,34.41,41.65,45.89,43.14,30.89,18.73,14.94,23.29
Região Norte,120050 Sena Madureira,105.09,88.62,88.62,88.62,89.07,92.37,107.04,97.16,104.89,55.57,72.52,92.21
Região Norte,120060 Tarauacá,82.00,49.53,49.53,49.87,47.03,47.98,55.81,51.85,46.75,14.41,18.19,37.26
Região Norte,120070 Xapuri,06.01,56.96,56.65,56.65,56.65,54.43,57.91,52.22,49.68,42.90,46.45,48.06
Região Norte,120080 Porto Acre,0.83,59.28,58.73,63.99,56.23,48.20,50.97,60.66,40.96,6.21,7.34,47.74
Região Norte,130002 Alvarães,89.17,75.06,75.06,75.06,74.81,74.56,83.88,73.80,109.95,11.48,73.47,72.45
Região Norte,130006 Amaturá,88.30,100.38,100.38,100.38,101.51,86.79,109.43,108.30,81.78,84.11,93.41,108.91
Região Norte,130008 Anamã,53.51,87.72,87.72,87.72,84.21,74.12,81.58,82.02,70.48,29.96,51.54,72.25
Região Norte,130010 Anori,70.54,87.21,87.21,93.02,89.15,84.11,87.21,84.50,95.28,58.27,54.33,83.86
Região Norte,130014 Apuí,9.43,84.15,84.15,84.15,80.00,79.62,87.55,83.77,77.86,7.25,75.95,75.95
Região Norte,130020 Atalaia do Norte,17.50,37.86,37.86,37.86,41.43,38.93,41.79,40.71,47.76,25.75,32.09,13.43
Região Norte,130030 Autazes,76.16,68.43,68.43,68.43,65.78,58.83,75.61,73.40,81.56,41.90,42.91,69.27
Região Norte,130040 Barcelos,46.28,36.82,36.82,36.82,34.81,33.40,42.25,39.03,47.05,13.03,27.90,26.27
Região Norte,130050 Barreirinha,62.17,58.87,58.87,58.87,58.98,58.51,58.39,61.47,57.84,55.33,56.05,51.86
Região Norte,130060 Benjamin Constant,38.92,39.53,39.53,39.53,37.60,30.39,37.40,34.04,26.91,30.72,20.62,18.35
Região Norte,130063 Beruri,46.27,45.10,45.10,45.10,48.63,51.37,43.53,40.98,46.34,33.07,31.68,47.72
Região Norte,130068 Boa Vista do Ramos,89.97,109.36,109.36,109.36,105.35,79.60,97.99,100.00,156.85,30.82,104.45,101.71
Região Norte,130070 Boca do Acre,34.96,47.77,47.77,47.77,48.33,50.70,60.86,55.15,43.59,16.95,13.96,44.59
Região Norte,130080 Borba,80.23,45.09,45.22,45.22,45.48,44.83,48.58,48.58,58.98,26.04,42.45,43.23
Região Norte,130083 Caapiranga,80.39,81.86,81.86,81.86,86.76,75.49,112.25,97.55,94.44,32.83,36.87,83.33
Região Norte,130090 Canutama,94.92,42.13,42.13,42.13,43.15,41.12,52.79,52.28,60.62,34.72,34.72,47.15
Região Norte,130100 Carauari,128.55,69.40,69.40,69.57,64.44,71.97,90.94,79.83,78.89,52.42,48.44,67.99
Região Norte,130110 Careiro,53.63,69.20,69.20,69.56,66.37,68.32,85.31,75.22,115.08,15.08,55.83,74.69
Região Norte,130115 Careiro da Várzea,20.00,137.37,137.37,137.37,141.05,124.74,154.74,154.74,147.09,61.38,64.55,116.93
Região Norte,130120 Coari,89.26,54.34,54.34,54.34,52.40,54.09,62.02,57.78,58.71,18.56,35.97,58.07
Região Norte,130130 Codajás,47.89,60.13,60.13,60.13,61.60,60.97,71.31,65.82,71.00,27.72,49.47,55.86
Região Norte,130140 Eirunepé,73.50,61.37,61.37,61.37,58.44,53.28,68.48,67.92,60.74,45.52,46.80,64.86
Região Norte,130150 Envira,179.02,76.02,76.02,76.29,78.47,76.84,91.28,83.38,75.76,74.66,69.97,74.93
Região Norte,130160 Fonte Boa,64.97,63.22,63.38,63.38,54.94,54.94,68.63,58.28,84.01,40.71,74.64,67.04
Região Norte,130165 Guajará,8.59,68.73,68.73,68.73,69.42,43.99,88.66,78.69,58.39,30.42,34.62,42.66
Região Norte,130170 Humaitá,114.50,92.49,92.49,92.49,87.93,77.89,92.39,87.83,97.94,64.54,77.29,85.41
Região Norte,130180 Ipixuna,85.38,60.53,60.53,60.82,62.28,55.26,80.70,70.47,83.09,32.64,46.88,51.63
Região Norte,130185 Iranduba,07.01,69.22,69.22,69.22,69.33,66.27,81.27,73.27,76.26,19.93,41.21,60.58
Região Norte,130190 Itacoatiara,101.81,75.06,75.06,75.12,74.08,73.15,83.15,78.54,88.58,38.61,64.33,71.12
Região Norte,130195 Itamarati,71.25,52.50,52.50,52.50,54.17,46.67,57.50,60.83,54.47,0.43,13.19,62.98
Região Norte,130200 Itapiranga,76.60,90.96,89.36,89.36,89.36,89.89,103.19,95.74,80.75,74.33,83.96,85.56
Região Norte,130210 Japurá,82.45,114.89,114.89,114.89,123.40,106.91,121.28,119.15,121.39,77.54,74.33,99.47
Região Norte,130220 Juruá,14.67,55.56,55.11,55.11,44.44,54.22,61.33,54.22,69.09,10.45,22.27,41.36
Região Norte,130230 Jutaí,14.83,18.81,18.81,18.81,20.18,16.36,17.28,21.25,25.86,2.49,12.46,17.45
Região Norte,130240 Lábrea,99.75,76.90,76.90,77.15,76.28,74.78,83.90,81.27,94.90,15.92,64.33,79.49
Região Norte,130250 Manacapuru,88.13,52.60,52.65,52.69,52.79,43.20,60.90,55.36,49.32,29.36,32.93,51.74
Região Norte,130255 Manaquiri,61.45,85.94,85.94,85.94,94.78,83.53,93.17,96.79,104.86,0.00,115.79,102.02
Região Norte,130260 Manaus,103.89,73.46,73.49,73.47,74.01,74.86,84.50,78.20,81.13,57.07,64.06,72.51
Região Norte,130270 Manicoré,83.84,70.18,70.18,70.38,71.89,64.36,79.82,75.20,68.19,34.04,44.61,54.37
Região Norte,130280 Maraã,57.07,50.60,50.60,50.60,50.60,28.30,51.80,46.52,59.61,19.22,32.12,42.09
Região Norte,130290 Maués,53.31,51.75,51.75,52.17,47.90,46.33,59.59,57.38,50.54,13.57,31.62,48.01
Região Norte,130300 Nhamundá,83.79,52.91,52.91,52.91,65.75,64.22,76.15,76.45,85.19,58.02,55.86,72.22
Região Norte,130310 Nova Olinda do Norte,54.19,33.05,33.05,33.05,32.21,24.83,44.80,37.75,37.80,7.73,19.76,34.54
Região Norte,130320 Novo Airão,51.03,66.55,66.55,66.55,65.52,60.00,72.41,70.00,73.43,1.75,14.69,63.29
Região Norte,130330 Novo Aripuanã,79.67,71.54,71.54,71.54,71.00,68.83,75.61,66.40,89.34,15.30,36.89,55.19
Região Norte,130340 Parintins,120.50,68.64,68.64,68.81,67.42,59.72,76.07,73.35,77.09,34.25,47.05,57.83
Região Norte,130350 Pauini,31.74,33.43,33.43,33.43,22.19,29.78,39.89,41.85,37.71,26.29,25.14,37.14
Região Norte,130353 Presidente Figueiredo,21.78,89.66,89.29,89.66,88.38,90.56,98.91,94.92,91.65,40.63,55.29,73.65
Região Norte,130356 Rio Preto da Eva,23.92,78.37,78.37,78.63,74.05,78.63,99.49,89.06,88.66,56.44,69.07,83.25
Região Norte,130360 Santa Isabel do Rio Negro,74.06,62.19,62.19,62.81,54.06,50.94,70.94,67.50,66.77,73.80,59.11,77.96
Região Norte,130370 Santo Antônio do Içá,91.68,78.99,78.99,78.99,76.81,60.98,82.67,77.35,81.43,50.34,58.60,75.65
Região Norte,130380 São Gabriel da Cachoeira,45.57,34.62,34.54,34.54,32.87,36.43,39.33,33.96,38.18,26.09,29.50,33.73
Região Norte,130390 São Paulo de Olivença,18.61,17.95,17.95,17.95,16.76,12.84,18.61,18.72,20.27,08.06,11.31,17.36
