COD,CODMUN7,Estado,Municipio,BCG,Hepatite_B,Hib,DPT,poliomielite,Rotavírus,Pneumonia,Meningococo ,Triplice_viral,Tetraviral,Varicela,Hepatite_A
220200,2202000,PI,Buriti dos Lopes,0.35,21.11,21.11,21.11,23.18,18.34,18.69,18.69,29.65,15.99,15.70,22.38
220202,2202026,PI,Buriti dos Montes,50.70,114.08,114.08,114.08,100.00,119.72,107.04,83.10,109.30,76.74,83.72,66.28
220205,2202059,PI,Cabeceiras do Piau¡,107.56,178.15,178.15,178.15,512.61,194.96,183.19,180.67,130.22,113.67,90.65,121.58
220207,2202075,PI,Cajazeiras do Piau¡,9.30,79.07,79.07,79.07,81.40,69.77,60.47,62.79,68.29,31.71,34.15,48.78
220208,2202083,PI,Cajueiro da Praia,6.78,62.71,62.71,62.71,58.47,51.69,73.73,68.64,83.52,70.33,75.82,70.33
220209,2202091,PI,CaldeirÆo Grande do Piau¡,29.69,134.38,134.38,134.38,139.06,126.56,126.56,132.81,104.11,82.19,91.78,71.23
220210,2202109,PI,Campinas do Piau¡,20.41,132.65,132.65,132.65,120.41,102.04,108.16,110.20,80.70,84.21,70.18,82.46
220211,2202117,PI,Campo Alegre do Fidalgo,17.24,65.52,65.52,65.52,63.79,82.76,84.48,81.03,78.79,71.21,71.21,50.00
220213,2202133,PI,Campo Grande do Piau¡,34.04,115.96,115.96,115.96,109.57,102.13,111.70,109.57,94.85,74.23,76.29,78.35
220217,2202174,PI,Campo Largo do Piau¡,36.45,58.88,58.88,58.88,44.86,46.73,49.53,49.53,47.10,53.62,40.58,30.43
220220,2202208,PI,Campo Maior,76.61,96.96,97.14,96.96,85.54,96.07,99.46,100.00,94.71,79.49,81.09,63.94
220225,2202251,PI,Canavieira,25.81,112.90,112.90,112.90,112.90,119.35,116.13,96.77,102.27,95.45,100.00,72.73
220230,2202307,PI,Canto do Buriti,98.94,59.57,59.57,59.57,52.84,54.96,58.87,59.22,65.85,36.93,56.45,52.96
220240,2202406,PI,CapitÆo de Campos,18.79,101.34,101.34,101.34,81.88,108.05,108.72,104.03,109.03,87.50,92.36,72.92
220245,2202455,PI,CapitÆo Gerv sio Oliveira,17.74,64.52,64.52,64.52,69.35,75.81,72.58,79.03,116.33,89.80,97.96,73.47
220250,2202505,PI,Caracol,14.44,61.11,61.11,61.11,57.22,62.22,59.44,63.89,61.71,46.86,45.71,36.00
220253,2202539,PI,Cara£bas do Piau¡,18.75,106.25,106.25,106.25,107.50,108.75,112.50,105.00,150.88,122.81,119.30,91.23
220255,2202554,PI,Caridade do Piau¡,51.67,93.33,93.33,93.33,63.33,85.00,93.33,91.67,88.46,66.67,60.26,75.64
220260,2202604,PI,Castelo do Piau¡,67.91,95.15,95.15,95.15,79.85,100.75,97.01,90.67,91.37,91.01,96.76,63.67
220265,2202653,PI,Caxing¢,,92.08,92.08,92.08,91.09,91.09,93.07,91.09,79.52,1.20,30.12,65.06
